,domain,domain_label,iat_score,year,age,sex,sex_male,political_raw,explicit_pref,explicit_thermo_diff,pct_300,pct_error,n_trials,valid_iat,quality_flag,iat_z_within_domain,year_centered,age_centered,political_centered,domain_age,year_x_age,age_x_age,male_x_age,politics_x_age,domain_weight,year_x_weight,age_x_weight,male_x_weight,politics_x_weight,domain_korea_usa,year_x_korea_usa,age_x_korea_usa,male_x_korea_usa,politics_x_korea_usa
28,age,Age IAT: Young-Good over Old-Good,-0.18425724854114794,2006.0,30.0,f,0.0,,,2.0,0.0,3.3333333333333335,120.0,True,True,-1.780872758489443,-6.386165634512508,5.326186159904982,,1.0,-6.386165634512508,5.326186159904982,0.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
29,age,Age IAT: Young-Good over Old-Good,0.7506474450405021,2006.0,38.0,m,1.0,,,0.0,0.0,2.5,120.0,True,True,0.6549989002238809,-6.386165634512508,13.326186159904982,,1.0,-6.386165634512508,13.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
30,age,Age IAT: Young-Good over Old-Good,0.898074596874435,2006.0,41.0,m,1.0,,,2.0,0.0,0.0,120.0,True,True,1.0391167930342458,-6.386165634512508,16.32618615990498,,1.0,-6.386165634512508,16.32618615990498,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
31,age,Age IAT: Young-Good over Old-Good,0.7532889671304837,2006.0,,,,,,,0.0,3.3333333333333335,120.0,True,True,0.6618813223991304,-6.386165634512508,,,1.0,-6.386165634512508,,,,0.0,-0.0,,,,0.0,-0.0,,,
32,age,Age IAT: Young-Good over Old-Good,0.314876803400447,2006.0,30.0,m,1.0,,,5.0,0.0,4.166666666666667,120.0,True,True,-0.4803910095259153,-6.386165634512508,5.326186159904982,,1.0,-6.386165634512508,5.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
33,age,Age IAT: Young-Good over Old-Good,0.4846038065841048,2006.0,20.0,f,0.0,,,0.0,0.0,1.6666666666666667,120.0,True,True,-0.038171391192904,-6.386165634512508,-4.673813840095018,,1.0,-6.386165634512508,-4.673813840095018,0.0,,0.0,-0.0,-0.0,0.0,,0.0,-0.0,-0.0,0.0,
34,age,Age IAT: Young-Good over Old-Good,-0.03363923830560703,2006.0,42.0,m,1.0,,,5.0,0.0,0.8333333333333334,120.0,True,True,-1.3884411609765515,-6.386165634512508,17.32618615990498,,1.0,-6.386165634512508,17.32618615990498,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
35,age,Age IAT: Young-Good over Old-Good,1.0577394671530467,2006.0,26.0,f,0.0,,,1.0,0.0,6.666666666666667,120.0,True,True,1.4551197664644384,-6.386165634512508,1.3261861599049816,,1.0,-6.386165634512508,1.3261861599049816,0.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
36,age,Age IAT: Young-Good over Old-Good,1.0600993868019004,2006.0,39.0,m,1.0,,,1.0,0.0,15.833333333333334,120.0,True,True,1.4612684802626985,-6.386165634512508,14.326186159904982,,1.0,-6.386165634512508,14.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
37,age,Age IAT: Young-Good over Old-Good,0.6103484254867125,2006.0,39.0,m,1.0,,,2.0,0.0,0.0,120.0,True,True,0.2894531843637052,-6.386165634512508,14.326186159904982,,1.0,-6.386165634512508,14.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
38,age,Age IAT: Young-Good over Old-Good,0.4461131031751695,2006.0,32.0,m,1.0,,,5.0,0.0,4.166666666666667,120.0,True,True,-0.13845799174314222,-6.386165634512508,7.326186159904982,,1.0,-6.386165634512508,7.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
39,age,Age IAT: Young-Good over Old-Good,1.0979478700299157,2006.0,48.0,m,1.0,,,3.0,0.0,1.6666666666666667,120.0,True,True,1.5598817916016443,-6.386165634512508,23.32618615990498,,1.0,-6.386165634512508,23.32618615990498,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
40,age,Age IAT: Young-Good over Old-Good,0.2421459629894866,2006.0,38.0,f,0.0,,,0.0,0.0,5.0,120.0,True,True,-0.6698894622427831,-6.386165634512508,13.326186159904982,,1.0,-6.386165634512508,13.326186159904982,0.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
41,age,Age IAT: Young-Good over Old-Good,1.2812529946700795,2006.0,28.0,m,1.0,,,4.0,0.0,4.166666666666667,120.0,True,True,2.037478878313556,-6.386165634512508,3.3261861599049816,,1.0,-6.386165634512508,3.3261861599049816,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
