outcome,predictor,n,pearson_r,pearson_p,spearman_rho,spearman_p
excess_2024_vs_expected,male_40_64_total_mortality_rate_2024,17,-0.2465807224512618,0.3400418267135419,-0.11764705882352941,0.652933439953981
excess_2024_vs_expected,structural_isolation_index,17,-0.17383129755766558,0.5046182679701672,-0.16421568627450983,0.5288225629140813
excess_2024_vs_expected,event_stress_index,17,0.002122947721027636,0.9935480968172712,-0.04411764705882353,0.8664832749198723
excess_2024_vs_expected,composite_vulnerability_index,17,-0.0935767748213764,0.7209242046159647,-0.1593137254901961,0.541361632626123
godoksa_per_100k_male_40_64_pop_proxy_2024,male_40_64_single_household_rate_pct_2024,17,0.21441114235796116,0.40858937324628286,-0.012254901960784315,0.9627675753886973
godoksa_per_100k_male_40_64_pop_proxy_2024,basic_livelihood_male_40_64_rate_per_1000_2024,17,0.6761131155104545,0.00288549381875125,0.47794117647058826,0.052328541890865665
godoksa_per_100k_male_40_64_pop_proxy_2024,business_closure_male_40_64_approx_rate_per_1000_2024,17,0.2539691310433201,0.3252949795391171,0.40441176470588236,0.10737924277813304
godoksa_per_100k_male_40_64_pop_proxy_2024,husband_divorce_rate_40_64_mean_2025,17,-0.04924941543580593,0.8511068655632539,-0.2727280959393281,0.2895636203784
godoksa_per_100k_male_40_64_pop_proxy_2024,depression_std_rate_2025,17,0.09797470867817483,0.7083354350309996,0.18059022568955513,0.48792459717636594
godoksa_per_100k_male_40_64_pop_proxy_2024,male_40_64_total_mortality_rate_2024,17,0.3632120827081237,0.15186334592460726,0.08088235294117649,0.7576329086921545
godoksa_per_100k_male_40_64_pop_proxy_2024,structural_isolation_index,17,0.5962622300308908,0.01152842915916552,0.3872549019607844,0.12460639350840497
godoksa_per_100k_male_40_64_pop_proxy_2024,event_stress_index,17,0.13258126769456352,0.6119741062290811,0.014705882352941176,0.9553274855428822
godoksa_per_100k_male_40_64_pop_proxy_2024,composite_vulnerability_index,17,0.42799529717172463,0.08655427341471089,0.09068627450980393,0.7292353374489857
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,male_40_64_single_household_rate_pct_2024,17,-0.12865103108356843,0.6226546259009778,-0.18382352941176472,0.4800344013398419
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,basic_livelihood_male_40_64_rate_per_1000_2024,17,0.011053365930406206,0.9664160036524254,-0.06617647058823531,0.8007740943408515
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,business_closure_male_40_64_approx_rate_per_1000_2024,17,0.2785663070817732,0.2789477293648579,0.15441176470588236,0.5540319990921512
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,husband_divorce_rate_40_64_mean_2025,17,0.0025997719468917185,0.9920990070112927,-0.06879627645316386,0.7930448991287005
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,depression_std_rate_2025,17,-0.05270685130057371,0.8407754810961534,0.06019674189651838,0.8184806061276397
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,male_40_64_total_mortality_rate_2024,17,0.09027801841986689,0.7304115316723481,0.11274509803921569,0.6665920499637163
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,structural_isolation_index,17,-0.10272762461229239,0.6948104656906264,-0.06617647058823531,0.8007740943408515
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,event_stress_index,17,0.18208971754238792,0.4842576326857322,0.07107843137254903,0.7863266619781195
godoksa_excess_per_100k_male_40_64_pop_proxy_2024,composite_vulnerability_index,17,0.0830649041137403,0.7512842338245227,0.0,1.0
