region,year,male_40_64_suicide_deaths,male_40_64_population_est_from_suicide,male_40_64_suicide_rate
경상남도,2009,329.0,565335.8962785825,58.19549088704559
경상남도,2010,333.0,585566.7429295988,56.86798371335029
경상남도,2011,368.0,605225.2675711493,60.80380640366086
경상남도,2012,309.0,622693.919855253,49.623095737281
경상남도,2013,337.0,637611.8389597496,52.853472819734414
경상남도,2014,318.0,651595.0539124284,48.803317043400675
경상남도,2015,339.0,664544.5353771788,51.01238245945279
경상남도,2016,328.0,675840.8706600944,48.53213444751308
경상남도,2017,300.0,684073.3011450695,43.8549493888784
경상남도,2018,393.0,691118.9793595879,56.86430437262277
경상남도,2019,358.0,697253.8002101459,51.34428810457571
경상남도,2020,327.0,701954.0424327924,46.584246294344574
경상남도,2021,317.0,705035.6850999292,44.96226314488884
경상남도,2022,334.0,705953.3005197376,47.31191139047047
경상남도,2023,328.0,703211.3059610499,46.6431636152004
경상남도,2024,333.0,696525.5711748555,47.80872573541221
경상북도,1996,104.0,355758.7352401954,29.233294842298942
경상북도,1997,98.0,366036.6902302386,26.773272356483606
경상북도,1998,176.0,375105.94840649364,46.92007704694485
경상북도,1999,193.0,384036.32599284773,50.255662534276624
경상북도,2000,188.0,394102.67591368465,47.703304618305935
경상북도,2001,176.0,404364.5717908385,43.525079168171466
경상북도,2002,221.0,414221.5648866781,53.35308895867378
경상북도,2003,219.0,421169.03546961484,51.99812463796373
경상북도,2004,230.0,426570.930383386,53.91834830218848
경상북도,2005,211.0,434230.63871036423,48.59168865344366
경상북도,2006,198.0,443935.53955042426,44.601069831110074
경상북도,2007,224.0,451783.7828378247,49.58123963480303
경상북도,2008,225.0,460748.05686907383,48.83362971272085
경상북도,2009,287.0,473165.3351341578,60.65533095712224
경상북도,2010,273.0,486234.91612155,56.14570055511087
경상북도,2011,297.0,501069.44038931193,59.27322164553526
경상북도,2012,261.0,513068.32226134365,50.870417968828214
경상북도,2013,305.0,521102.91160397686,58.529705593314965
경상북도,2014,252.0,528875.4377209848,47.64827065630261
경상북도,2015,277.0,536151.838170416,51.664468958130385
경상북도,2016,277.0,541942.4207588823,51.11244098812503
경상북도,2017,263.0,545643.7812317993,48.1999445510537
경상북도,2018,303.0,547647.2632458762,55.32758407375856
경상북도,2019,287.0,549420.2721033226,52.236878501277346
경상북도,2020,268.0,550520.4700027547,48.68120525993501
경상북도,2021,250.0,550823.6898504621,45.38657370888861
경상북도,2022,252.0,550081.2394409492,45.811415102269095
경상북도,2023,288.0,540822.7347257558,53.252199197217756
경상북도,2024,325.0,532923.503593172,60.98436226001049
광주광역시,1996,26.0,137985.71225032475,18.842530560578968
광주광역시,1997,21.0,144345.185324802,14.548458926943987
광주광역시,1998,42.0,151155.8920754626,27.785883450068923
광주광역시,1999,48.0,158757.64944030627,30.234763596728776
광주광역시,2000,46.0,167067.07707067477,27.53385095768481
광주광역시,2001,49.0,175120.25170737476,27.98077293874543
광주광역시,2002,64.0,182639.84830122747,35.04164101934916
광주광역시,2003,76.0,188747.090804495,40.26552127297215
광주광역시,2004,93.0,194130.69530167064,47.9058707616959
광주광역시,2005,83.0,199728.76933029736,41.55635679241604
광주광역시,2006,81.0,205421.90638035082,39.43104288498993
광주광역시,2007,88.0,211239.37103546635,41.658900785699224
광주광역시,2008,76.0,217961.56723167174,34.86853254235389
광주광역시,2009,115.0,225719.43928662495,50.948203824824205
광주광역시,2010,137.0,233642.13611370002,58.6366835532312
광주광역시,2011,120.0,241685.57816765798,49.65128697780869
광주광역시,2012,124.0,248366.6162794469,49.926194533520885
광주광역시,2013,115.0,254097.37917670255,45.25823933037402
광주광역시,2014,115.0,259837.68906816407,44.25839854580591
광주광역시,2015,116.0,264523.91757814673,43.85236732543507
광주광역시,2016,106.0,268196.3423579856,39.52328322901299
광주광역시,2017,125.0,271200.41461911245,46.09137496178106
광주광역시,2018,120.0,273599.3592842547,43.85975183345608
광주광역시,2019,124.0,276610.71569687914,44.82834285273462
광주광역시,2020,111.0,279101.5391985339,39.77047217967584
광주광역시,2021,138.0,280668.7573937241,49.16827981905112
광주광역시,2022,113.0,281451.2916120863,40.14904296681773
광주광역시,2023,142.0,281575.7543714794,50.43047840428092
광주광역시,2024,162.0,280069.3360467735,57.8428193127665
대구광역시,1996,46.0,292058.2863536808,15.75028073139287
대구광역시,1997,94.0,303918.7233691144,30.92932181273854
대구광역시,1998,152.0,316010.6783757899,48.09964042393732
대구광역시,1999,112.0,328813.50924062554,34.06186085804597
대구광역시,2000,106.0,342972.86522004957,30.906235084221887
대구광역시,2001,92.0,357059.0285450043,25.766047808648022
대구광역시,2002,133.0,370712.49575883424,35.876859162180146
대구광역시,2003,179.0,381876.6479239341,46.873774810041525
대구광역시,2004,199.0,390515.763104616,50.958250293904136
대구광역시,2005,204.0,399330.86167353526,51.085458094840675
대구광역시,2006,183.0,407689.2093306736,44.8871335840459
대구광역시,2007,188.0,415512.04310202366,45.24537931475526
대구광역시,2008,205.0,425172.1759159959,48.21576095809788
대구광역시,2009,224.0,436354.4172121925,51.3344178869793
대구광역시,2010,265.0,447505.54781889764,59.21714295869325
대구광역시,2011,245.0,458680.8255556648,53.414048800317076
대구광역시,2012,203.0,467917.25107290514,43.38373922622721
대구광역시,2013,240.0,474735.0119755578,50.55451861476707
대구광역시,2014,227.0,480349.83655271214,47.25722436570241
대구광역시,2015,246.0,484340.2718980264,50.790738303874335
대구광역시,2016,207.0,487110.3870164575,42.495501126114625
대구광역시,2017,246.0,488405.89782591903,50.36794213481856
대구광역시,2018,242.0,487531.04908130394,49.637864184449604
대구광역시,2019,267.0,486112.9772030926,54.92550343671454
대구광역시,2020,202.0,484694.34453783307,41.67574932045298
대구광역시,2021,229.0,481518.81042391754,47.55785133261854
대구광역시,2022,223.0,477234.0049227767,46.72760065286727
대구광역시,2023,230.0,478736.17655283306,48.04316265717122
대구광역시,2024,251.0,473297.31518491765,53.03220448270113
대전광역시,1996,41.0,143475.83444121582,28.576240842006257
대전광역시,1997,39.0,152135.641556977,25.635018593190033
대전광역시,1998,76.0,161182.5482996081,47.151506662328146
대전광역시,1999,56.0,170136.8656784474,32.91467711991239
대전광역시,2000,53.0,179680.97841067569,29.49672272980623
대전광역시,2001,62.0,189531.32855390818,32.712270036330914
대전광역시,2002,74.0,198877.62338886596,37.20881149877158
대전광역시,2003,93.0,206454.95915657515,45.04614487340502
대전광역시,2004,104.0,212792.8935548038,48.87381258961794
대전광역시,2005,114.0,219666.5698725906,51.89683622142479
대전광역시,2006,119.0,226509.97024814464,52.53631876320232
대전광역시,2007,89.0,232422.2748602659,38.29237109631919
대전광역시,2008,98.0,239547.1989073932,40.91051803026339
대전광역시,2009,136.0,247582.5226254502,54.93117953473017
대전광역시,2010,133.0,255591.09888796337,52.03624092492347
대전광역시,2011,129.0,264052.1028015205,48.853994583396734
대전광역시,2012,108.0,271602.53534797905,39.76398816072525
대전광역시,2013,119.0,277991.4411185911,42.80707331174078
대전광역시,2014,146.0,283580.24254704424,51.48454585152542
대전광역시,2015,142.0,286199.12862985895,49.615804450491
대전광역시,2016,142.0,287814.1740889791,49.33738946300124
대전광역시,2017,104.0,288722.7306294468,36.020717791518784
대전광역시,2018,151.0,288820.3541469679,52.28163383636141
대전광역시,2019,154.0,288495.18852529395,53.38043964864875
대전광역시,2020,125.0,288020.37809344346,43.399706933044094
대전광역시,2021,140.0,287192.9851513046,48.74770876671744
대전광역시,2022,110.0,286069.77174066857,38.452157783283205
대전광역시,2023,118.0,284693.19652587146,41.44812782320099
대전광역시,2024,149.0,282112.02656525606,52.8158979303686
부산광역시,1996,156.0,508809.0613588078,30.659831329141788
부산광역시,1997,176.0,528516.3540145344,33.30076707430702
부산광역시,1998,293.0,547234.8075352485,53.541915822145015
부산광역시,1999,173.0,564645.5301612351,30.63869113611856
부산광역시,2000,162.0,582540.6746896141,27.809216942029998
부산광역시,2001,227.0,599895.9072282921,37.83989809979059
부산광역시,2002,227.0,614146.1155657523,36.96188809903769
부산광역시,2003,320.0,623716.6997886051,51.3053442546042
부산광역시,2004,388.0,630533.1269688036,61.53522842887791
부산광역시,2005,373.0,637012.9889835839,58.554536006425515
부산광역시,2006,317.0,643412.6991985668,49.26853330604981
부산광역시,2007,306.0,648295.8405964158,47.2006730320046
부산광역시,2008,316.0,654190.2339276401,48.30399226579599
부산광역시,2009,381.0,661760.2788916592,57.57371848278851
부산광역시,2010,401.0,670093.6715495603,59.84237980828953
부산광역시,2011,385.0,678720.0660224117,56.72441692438294
부산광역시,2012,373.0,684548.7844081555,54.48844676898914
부산광역시,2013,422.0,687138.4476874656,61.41411551343439
부산광역시,2014,399.0,689265.0849681734,57.88774285852934
부산광역시,2015,384.0,690450.809787055,55.61583744371755
부산광역시,2016,364.0,689162.6578996506,52.817719565560424
부산광역시,2017,317.0,685122.4409209253,46.269101851910754
부산광역시,2018,343.0,679304.9400052654,50.492787524457185
부산광역시,2019,359.0,674611.2730423938,53.21583174573482
부산광역시,2020,323.0,669146.3956471997,48.27045353619424
부산광역시,2021,281.0,663707.4414428547,42.337931210945165
