region,year,godoksa_count,godoksa_share_pct,source_id,godoksa_yoy_change,godoksa_yoy_pct,expected_2024_if_national_growth,excess_2024_vs_expected,trajectory_type,is_seoul_gyeonggi_daegu,is_positive_excess_region,godoksa_2024_excess_applies_to_year,male_40_64_single_person_households,male_40_64_single_person_household_rate,single_household_dwelling_non_apartment_share,social_network_no_help_sick_pct,social_network_no_money_help_pct,social_network_no_depressed_talk_pct,daily_no_family_relative_exchange_pct,daily_no_nonkin_exchange_pct,depression_experience_std_rate,basic_livelihood_male_40_64_count,social_welfare_facility_count,male_40_64_suicide_deaths,male_40_64_suicide_rate,business_closure_male_40_64_count,business_closure_total_count,divorce_male_40_64_rate,employment_loss_male_45_64_count,health_insurance_arrears_male_45_64_count,debt_arrears_male_45_64_count,emergency_self_harm_male_45_64_count,death_discovery_delay_days
전북,2021,106,3.1,src_mohw_2025_godoksa,-37.0,-25.874125874125873,171.12900274473924,-75.12900274473924,declining_or_reduced,0,0,,,,,,,,,,,,,,,,,,,,,,
전북,2022,102,2.9,src_mohw_2025_godoksa,-4.0,-3.7735849056603765,171.12900274473924,-75.12900274473924,declining_or_reduced,0,0,,,,,,,,,,,,,,,,,,,,,,
전북,2023,126,3.4,src_mohw_2025_godoksa,24.0,23.529411764705888,171.12900274473924,-75.12900274473924,declining_or_reduced,0,0,,,,,,,,,,,,,,,,,,,,,,
전북,2024,96,2.5,src_mohw_2025_godoksa,-30.0,-23.809523809523814,171.12900274473924,-75.12900274473924,declining_or_reduced,0,0,-75.12900274473924,,,,,,,,,,,,,,,,,,,,,
제주,2020,27,0.8,src_mohw_2025_godoksa,,,32.31107044830741,15.688929551692588,fast_growth_from_small_base,0,1,,,,,,,,,,,,,,,,,,,,,,
제주,2021,44,1.3,src_mohw_2025_godoksa,17.0,62.962962962962955,32.31107044830741,15.688929551692588,fast_growth_from_small_base,0,1,,,,,,,,,,,,,,,,,,,,,,
제주,2022,53,1.5,src_mohw_2025_godoksa,9.0,20.45454545454546,32.31107044830741,15.688929551692588,fast_growth_from_small_base,0,1,,,,,,,,,,,,,,,,,,,,,,
제주,2023,51,1.4,src_mohw_2025_godoksa,-2.0,-3.7735849056603765,32.31107044830741,15.688929551692588,fast_growth_from_small_base,0,1,,,,,,,,,,,,,,,,,,,,,,
제주,2024,48,1.2,src_mohw_2025_godoksa,-3.0,-5.882352941176472,32.31107044830741,15.688929551692588,fast_growth_from_small_base,0,1,15.688929551692588,,,,,,,,,,,,,,,,,,,,,
충남,2020,193,5.9,src_mohw_2025_godoksa,,,230.96431838975292,-59.96431838975295,declining_or_reduced,0,0,,,,,,,,,,,,,,,,,,,,,,
충남,2021,175,5.2,src_mohw_2025_godoksa,-18.0,-9.32642487046632,230.96431838975292,-59.96431838975295,declining_or_reduced,0,0,,,,,,,,,,,,,,,,,,,,,,
충남,2022,172,4.8,src_mohw_2025_godoksa,-3.0,-1.7142857142857126,230.96431838975292,-59.96431838975295,declining_or_reduced,0,0,,,,,,,,,,,,,,,,,,,,,,
충남,2023,183,5.0,src_mohw_2025_godoksa,11.0,6.3953488372092915,230.96431838975292,-59.96431838975295,declining_or_reduced,0,0,,,,,,,,,,,,,,,,,,,,,,
충남,2024,171,4.4,src_mohw_2025_godoksa,-12.0,-6.5573770491803245,230.96431838975292,-59.96431838975295,declining_or_reduced,0,0,-59.96431838975295,,,,,,,,,,,,,,,,,,,,,
충북,2020,98,3.0,src_mohw_2025_godoksa,,,117.2772186642269,10.722781335773108,moderate_or_stable,0,1,,,,,,,,,,,,,,,,,,,,,,
충북,2021,93,2.8,src_mohw_2025_godoksa,-5.0,-5.102040816326525,117.2772186642269,10.722781335773108,moderate_or_stable,0,1,,,,,,,,,,,,,,,,,,,,,,
충북,2022,121,3.4,src_mohw_2025_godoksa,28.0,30.107526881720425,117.2772186642269,10.722781335773108,moderate_or_stable,0,1,,,,,,,,,,,,,,,,,,,,,,
충북,2023,167,4.6,src_mohw_2025_godoksa,46.0,38.01652892561984,117.2772186642269,10.722781335773108,moderate_or_stable,0,1,,,,,,,,,,,,,,,,,,,,,,
충북,2024,128,3.3,src_mohw_2025_godoksa,-39.0,-23.35329341317365,117.2772186642269,10.722781335773108,moderate_or_stable,0,1,10.722781335773108,,,,,,,,,,,,,,,,,,,,,
