age_band_2024,profile_2022,profile_2024,n,weighted_share
50 - 54세,depression_alcohol,low_self_esteem_alcohol,2,0.0029786296900466375
50 - 54세,alcohol_only,low_self_esteem_alcohol,4,0.0027674499631360062
50 - 54세,compound_psych_alcohol_low_income,depression_alcohol,1,0.002664481144360632
50 - 54세,psych_low_income,psych_only,2,0.002651139621830369
50 - 54세,low_self_esteem_alcohol,alcohol_only,2,0.002363469609870634
50 - 54세,low_income_only,psych_only,1,0.0022274523948013353
50 - 54세,psych_only,low_self_esteem_alcohol,1,0.00201642833081794
50 - 54세,low_income_only,low_self_esteem_alcohol,1,0.0019369689889000752
50 - 54세,lower_observed_risk,psych_low_income,1,0.0019312640058888177
50 - 54세,lower_observed_risk,low_self_esteem_alcohol,1,0.0019270664497575965
50 - 54세,compound_psych_alcohol_low_income,alcohol_only,2,0.0015460291797964392
50 - 54세,psych_only,psych_low_income,1,0.0012709351677233482
50 - 54세,low_self_esteem_alcohol,compound_psych_alcohol_low_income,1,0.0012422150780100577
50 - 54세,psych_low_income,compound_psych_alcohol_low_income,1,0.0009704702643026942
50 - 54세,compound_psych_alcohol_low_income,psych_only,1,0.0006099093459941486
50 - 54세,depression_alcohol,psych_low_income,1,0.0006012803392041199
50 - 54세,low_self_esteem_alcohol,low_self_esteem_alcohol,1,0.0005476537417230822
50 - 54세,low_income_only,compound_psych_alcohol_low_income,1,0.000409923014747934
55 - 59세,lower_observed_risk,lower_observed_risk,123,0.26702847360845033
55 - 59세,alcohol_only,alcohol_only,56,0.12428006726078625
55 - 59세,lower_observed_risk,alcohol_only,30,0.06799262926652598
55 - 59세,alcohol_only,lower_observed_risk,31,0.06284998444058774
55 - 59세,low_income_only,low_income_only,21,0.04519310335857543
55 - 59세,psych_only,lower_observed_risk,13,0.031501837755417234
55 - 59세,lower_observed_risk,psych_only,14,0.030364834319140017
55 - 59세,psych_only,psych_only,13,0.030175796214787703
55 - 59세,low_income_only,lower_observed_risk,13,0.027903859031060206
55 - 59세,alcohol_only,low_self_esteem_alcohol,8,0.024083900329389226
55 - 59세,psych_low_income,psych_low_income,12,0.02343063375815315
55 - 59세,lower_observed_risk,low_income_only,8,0.021123525542449034
55 - 59세,depression_alcohol,depression_alcohol,7,0.020802544693984605
55 - 59세,depression_alcohol,alcohol_only,8,0.020521837828934287
55 - 59세,low_income_only,psych_low_income,6,0.01594848218872533
55 - 59세,psych_low_income,low_income_only,5,0.015439041236158172
55 - 59세,compound_psych_alcohol_low_income,psych_low_income,3,0.013103057170528485
55 - 59세,depression_alcohol,lower_observed_risk,6,0.012431845750072602
55 - 59세,alcohol_only,depression_alcohol,8,0.010723067719171748
55 - 59세,lower_observed_risk,depression_alcohol,5,0.010081411715021627
55 - 59세,low_self_esteem_alcohol,psych_only,3,0.009399618330597112
55 - 59세,low_self_esteem_alcohol,depression_alcohol,4,0.009270031089058132
55 - 59세,alcohol_only,compound_psych_alcohol_low_income,5,0.00877225396661632
55 - 59세,alcohol_only,low_income_only,3,0.007719891325353527
55 - 59세,low_self_esteem_alcohol,alcohol_only,4,0.007541105733802669
55 - 59세,psych_only,psych_low_income,2,0.00626145014136305
55 - 59세,low_income_only,psych_only,5,0.006132197362917919
55 - 59세,psych_only,low_self_esteem_alcohol,2,0.005993486565474541
55 - 59세,compound_psych_alcohol_low_income,low_income_only,2,0.005216807813048105
55 - 59세,alcohol_only,psych_only,2,0.005078429418808953
55 - 59세,low_income_only,compound_psych_alcohol_low_income,1,0.005036254764092544
55 - 59세,psych_low_income,lower_observed_risk,5,0.004801813016573286
55 - 59세,lower_observed_risk,psych_low_income,3,0.004756194663231297
55 - 59세,low_self_esteem_alcohol,low_self_esteem_alcohol,2,0.004754558045343144
55 - 59세,psych_only,alcohol_only,4,0.004285050671864377
55 - 59세,compound_psych_alcohol_low_income,depression_alcohol,2,0.004183067831110882
55 - 59세,alcohol_only,psych_low_income,3,0.004037708431558502
55 - 59세,compound_psych_alcohol_low_income,low_self_esteem_alcohol,1,0.00399949651832875
