survey_year,age_band,profile,n,weighted_share
2022,55 - 59세,lower_observed_risk,173,0.3788880314566436
2022,55 - 59세,psych_low_income,30,0.05604378031295615
2022,55 - 59세,psych_only,37,0.09704432191702685
2022,60 - 64세,alcohol_only,109,0.20165154482852624
2022,60 - 64세,compound_psych_alcohol_low_income,26,0.04853911576778868
2022,60 - 64세,depression_alcohol,19,0.045276383145451106
2022,60 - 64세,low_income_only,64,0.09380022974887464
2022,60 - 64세,low_self_esteem_alcohol,6,0.008220726818527481
2022,60 - 64세,lower_observed_risk,221,0.4021884991633249
2022,60 - 64세,psych_low_income,56,0.10700878449217281
2022,60 - 64세,psych_only,51,0.09331471603533421
2023,40 - 44세,alcohol_only,121,0.30917631541240315
2023,40 - 44세,compound_psych_alcohol_low_income,8,0.017059579485166836
2023,40 - 44세,depression_alcohol,24,0.04906803451436523
2023,40 - 44세,low_income_only,22,0.05014303689413948
2023,40 - 44세,low_self_esteem_alcohol,8,0.02456676181560147
2023,40 - 44세,lower_observed_risk,165,0.42925829189270803
2023,40 - 44세,psych_low_income,14,0.033603832974039814
2023,40 - 44세,psych_only,29,0.08712414701157595
2023,45 - 49세,alcohol_only,120,0.26865596329867086
2023,45 - 49세,compound_psych_alcohol_low_income,2,0.0018435422748559068
2023,45 - 49세,depression_alcohol,30,0.06293704457608973
2023,45 - 49세,low_income_only,32,0.06664644766286332
2023,45 - 49세,low_self_esteem_alcohol,10,0.025411452713771345
2023,45 - 49세,lower_observed_risk,189,0.42234169798858134
2023,45 - 49세,psych_low_income,14,0.03613398222736753
2023,45 - 49세,psych_only,46,0.11602986925779982
2023,50 - 54세,alcohol_only,150,0.27354773385557823
2023,50 - 54세,compound_psych_alcohol_low_income,9,0.015345979850942312
2023,50 - 54세,depression_alcohol,15,0.02604854650942112
2023,50 - 54세,low_income_only,46,0.0863105147803164
2023,50 - 54세,low_self_esteem_alcohol,12,0.015794019444794152
2023,50 - 54세,lower_observed_risk,226,0.42365850100740204
2023,50 - 54세,psych_low_income,29,0.06172671483889805
2023,50 - 54세,psych_only,52,0.09756798971264763
2023,55 - 59세,alcohol_only,114,0.24010772761514512
2023,55 - 59세,compound_psych_alcohol_low_income,13,0.033668038959610416
2023,55 - 59세,depression_alcohol,18,0.038078786848104826
2023,55 - 59세,low_income_only,48,0.10702099884943535
2023,55 - 59세,low_self_esteem_alcohol,13,0.03765653781516956
2023,55 - 59세,lower_observed_risk,174,0.3895448947426196
2023,55 - 59세,psych_low_income,31,0.0612216171450365
2023,55 - 59세,psych_only,41,0.09270139802487858
2023,60 - 64세,alcohol_only,107,0.20890197780970687
2023,60 - 64세,compound_psych_alcohol_low_income,23,0.05120271074595175
