year,코드,시도,시군구,지역,CHS_No,주관적 건강수준인지율_조율,주관적 건강수준인지율_표준화율,주관적 건강인지율_남성노인_조율,주관적 건강인지율_남성노인_표준화,주관적 건강인지율_여성노인_조율,주관적 건강인지율_여성노인_표준화,스트레스인지율_조율,스트레스인지율_표준화율,우울감경험률_조율,우울감경험률_표준화율,스트레스인지율_청소년,우울감경험률_청소년,스트레스로인한정신상담률_조율,스트레스로인한정신상담률_표준화율,우울증상으로인한정신상담률_조율,우울증상으로인한정신상담률_표준화율,기분상태및우울_40세_1차검진_특이소견없음,기분상태및우울_40세_1차검진_2차추가진단필요,기분상태및우울_40세_2차검진_특이소견없음,기분상태및우울_40세_2차검진_경계상태,기분상태및우울_40세_2차검진_우울증의심,기분상태및우울_66세_1차검진_특이소견없음,기분상태및우울_66세_1차검진_2차추가진단필요,기분상태및우울_66세_2차검진_특이소견없음,기분상태및우울_66세_2차검진_경계상태,기분상태및우울_66세_2차검진_우울증의심,지역안전등급_자살,행복감지수_조율,행복감지수_표준화율,고의적자해(자살)_사망자수_전체,고의적자해(자살)_사망률_전체,고의적자해(자살)_표준화사망률_전체,고의적자해(자살)_사망자수_남자,고의적자해(자살)_사망률_남자,고의적자해(자살)_표준화사망률_남자,고의적자해(자살)_사망자수_여자,고의적자해(자살)_사망률_여자,고의적자해(자살)_표준화사망률_여자,자살생각률_조율,자살생각률_표준화율,자살시도율_조율,자살시도율_표준화율,지역안정등급_자살,스트레스 인지율_조율,스트레스 인지율_표준화율,우울감 경험률_조율,우울감 경험률_표준화율,삶의 질 지수(EQ-5D)_조율,삶의 질 지수(EQ-5D)_표준화율,스트레스로 인한 정신상담률_조율,스트레스로 인한 정신상담률_표준화율,스트레스 인지율_청소년,우울감 경험률_청소년,우울증상으로 인한 정신상담률_조율,우울증상으로 인한 정신상담률_표준화율,행복감 지수_조율,행복감 지수_표준화율
2017,24,광주광역시,광주광역시,광주광역시,E  ,44.2,46.5,29.6,30.4,16.9,17.1,27.5,28.4,5.5,5.4,37.6,24.5,5.5,5.5,13.9,13.6,15175.0,947.0,179.0,31.0,51.0,7499.0,865.0,258.0,30.0,28.0,3.0,6.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,25,대전광역시,대전광역시,대전광역시,F  ,48.8,51.0,30.8,32.4,15.8,16.6,24.3,25.6,5.4,5.6,41.6,25.9,9.6,9.8,24.9,25.9,15142.0,1151.0,191.0,36.0,71.0,7263.0,1062.0,429.0,44.0,39.0,3.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,26,울산광역시,울산광역시,울산광역시,G  ,44.2,46.1,24.1,24.1,14.2,15.1,23.3,24.4,4.4,4.4,33.4,22.0,5.7,5.8,20.8,20.2,12232.0,726.0,174.0,26.0,78.0,5725.0,683.0,254.0,23.0,18.0,2.0,6.7,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,29,세종특별자치시,세종특별자치시,세종특별자치시,Q  ,47.3,48.8,35.9,34.4,20.5,20.4,28.9,29.5,7.1,7.7,40.7,29.2,10.4,10.4,23.5,23.4,3471.0,253.0,49.0,2.0,9.0,923.0,110.0,38.0,4.0,5.0,1.0,7.1,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,31,경기도,경기도,경기도,H  ,42.1,44.0,29.3,29.8,16.8,17.5,29.1,30.1,6.9,6.9,37.3,26.1,7.1,7.1,17.4,17.7,130625.0,10094.0,1442.0,219.0,534.0,49471.0,7884.0,2327.0,217.0,195.0,1.0,6.9,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,32,강원도,강원도,강원도,I  ,40.3,45.4,26.7,27.7,14.5,15.4,26.6,28.9,7.1,6.8,37.9,24.9,8.7,8.3,20.0,20.3,12651.0,694.0,118.0,16.0,42.0,7559.0,1278.0,369.0,30.0,31.0,4.0,6.9,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,33,충청북도,충청북도,충청북도,J  ,42.8,46.7,28.0,29.4,15.9,16.8,27.7,29.7,6.1,5.7,37.3,25.7,7.0,6.9,18.0,18.4,14606.0,878.0,151.0,25.0,53.0,8342.0,1155.0,287.0,21.0,29.0,3.0,6.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,34,충청남도,충청남도,충청남도,K  ,39.0,43.3,22.7,24.6,12.0,12.8,29.0,30.8,7.7,7.6,37.8,27.1,8.7,8.9,16.5,17.1,18540.0,1190.0,225.0,30.0,62.0,11626.0,1515.0,369.0,31.0,38.0,4.0,6.8,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,35,전라북도,전라북도,전라북도,L  ,39.1,44.5,28.8,30.6,11.7,12.3,21.9,23.6,6.8,6.4,40.6,27.2,8.2,7.8,15.9,15.9,16164.0,769.0,127.0,19.0,53.0,12162.0,1396.0,396.0,42.0,35.0,3.0,6.8,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,36,전라남도,전라남도,전라남도,M  ,39.9,46.8,23.8,24.9,13.5,14.8,23.4,25.4,5.0,5.1,35.2,23.1,6.0,5.8,16.6,18.1,15010.0,712.0,107.0,16.0,40.0,14164.0,1366.0,359.0,37.0,33.0,5.0,6.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
