year,code,sido,sigungu,region,subjective_health_crude,subjective_health_std,stress_crude,stress_std,depression_crude,depression_std,suicide_ideation_crude,suicide_ideation_std,suicide_attempt_crude,suicide_attempt_std,eq5d_crude,eq5d_std,happiness_crude,happiness_std,stress_counseling_crude,stress_counseling_std,depression_counseling_crude,depression_counseling_std,suicide_mortality_std_total,is_national
2019,39,제주특별자치도,제주특별자치도,제주특별자치도,38.3,40.7,21.9,23.2,4.8,4.6,,,,,,,7.0,7.0,7.3,7.0,19.7,22.0,28.1,False
2020,0,전국,전국,전국,,,25.6,27.7,6.0,6.0,,,,,,,,,,,24.9,25.2,,True
2020,11,서울특별시,서울특별시,서울특별시,,,27.8,29.5,6.3,6.3,,,,,,,,,12.2,12.2,29.2,29.1,,False
2020,21,부산광역시,부산광역시,부산광역시,,,23.1,25.8,5.9,5.7,,,,,,,,,10.6,10.5,23.0,22.2,,False
2020,22,대구광역시,대구광역시,대구광역시,,,21.6,23.1,5.2,5.4,,,,,,,,,11.4,11.3,29.9,28.3,,False
2020,23,인천광역시,인천광역시,인천광역시,,,30.7,32.8,8.0,7.9,,,,,,,,,9.0,8.9,20.6,21.2,,False
2020,24,광주광역시,광주광역시,광주광역시,,,25.8,27.4,4.6,4.5,,,,,,,,,7.5,7.5,22.7,23.6,,False
2020,25,대전광역시,대전광역시,대전광역시,,,22.3,23.9,4.8,4.8,,,,,,,,,9.3,9.4,35.7,37.3,,False
2020,26,울산광역시,울산광역시,울산광역시,,,23.8,25.6,5.4,5.5,,,,,,,,,10.8,10.6,21.6,22.1,,False
2020,29,세종특별자치시,세종특별자치시,세종특별자치시,,,24.0,24.1,6.1,6.1,,,,,,,,,8.5,8.0,36.6,39.0,,False
2020,31,경기도,경기도,경기도,,,27.5,29.0,6.2,6.3,,,,,,,,,9.6,9.8,22.5,22.9,,False
2020,32,강원도,강원도,강원도,,,24.9,28.3,5.8,5.7,,,,,,,,,11.6,11.4,28.3,28.4,,False
2020,33,충청북도,충청북도,충청북도,,,24.0,26.2,6.1,5.9,,,,,,,,,11.6,11.6,21.8,22.9,,False
2020,34,충청남도,충청남도,충청남도,,,25.2,27.5,5.9,6.0,,,,,,,,,10.4,10.4,24.6,25.8,,False
2020,35,전라북도,전라북도,전라북도,,,24.6,27.0,5.0,4.8,,,,,,,,,10.3,9.9,29.9,28.3,,False
2020,36,전라남도,전라남도,전라남도,,,18.8,21.7,3.9,4.2,,,,,,,,,8.9,9.2,23.0,23.6,,False
2020,37,경상북도,경상북도,경상북도,,,21.6,25.2,5.7,6.1,,,,,,,,,10.7,10.6,21.7,22.3,,False
2020,38,경상남도,경상남도,경상남도,,,23.5,26.4,6.3,6.4,,,,,,,,,11.1,10.9,23.0,23.4,,False
2020,39,제주특별자치도,제주특별자치도,제주특별자치도,,,24.6,25.8,4.1,4.3,,,,,,,,,8.2,8.0,28.3,28.4,,False
2021,0,전국,전국,전국,,,,,,,,,,,,,,,,,,,,True
2021,11000,서울특별시,서울특별시,서울특별시,50.1,52.9,26.3,28.0,7.0,6.8,,,,,,,,,,,,,,False
2021,21000,부산광역시,부산광역시,부산광역시,42.1,46.9,23.2,25.7,7.1,6.9,,,,,,,,,,,,,,False
2021,22000,대구광역시,대구광역시,대구광역시,43.5,47.4,22.1,24.2,6.0,5.8,,,,,,,,,,,,,,False
2021,23000,인천광역시,인천광역시,인천광역시,43.2,45.6,27.5,29.5,9.4,8.8,,,,,,,,,,,,,,False
2021,24000,광주광역시,광주광역시,광주광역시,46.7,48.6,25.8,27.7,6.8,6.3,,,,,,,,,,,,,,False
2021,25000,대전광역시,대전광역시,대전광역시,52.2,55.2,22.2,24.0,6.7,6.5,,,,,,,,,,,,,,False
2021,26000,울산광역시,울산광역시,울산광역시,45.8,48.6,23.3,24.8,6.5,6.3,,,,,,,,,,,,,,False
2021,29000,세종특별자치시,세종특별자치시,세종특별자치시,46.6,48.9,24.9,25.5,6.4,6.6,,,,,,,,,,,,,,False
2021,31000,경기도,경기도,경기도,46.3,48.6,26.5,28.1,7.2,7.1,,,,,,,,,,,,,,False
2021,32000,강원도,강원도,강원도,43.2,48.0,24.4,28.3,7.6,7.2,,,,,,,,,,,,,,False
2021,33000,충청북도,충청북도,충청북도,43.9,47.8,24.6,27.2,7.6,7.3,,,,,,,,,,,,,,False
2021,34000,충청남도,충청남도,충청남도,43.6,48.4,24.9,27.0,8.4,8.1,,,,,,,,,,,,,,False
2021,35000,전라북도,전라북도,전라북도,39.4,43.9,23.1,26.2,8.0,7.6,,,,,,,,,,,,,,False
2021,36000,전라남도,전라남도,전라남도,42.5,48.7,21.0,23.7,5.6,5.1,,,,,,,,,,,,,,False
2021,37000,경상북도,경상북도,경상북도,41.5,47.4,21.4,24.7,6.2,6.0,,,,,,,,,,,,,,False
2021,38000,경상남도,경상남도,경상남도,41.4,45.6,22.2,24.9,7.4,7.1,,,,,,,,,,,,,,False
2021,39000,제주특별자치도,제주특별자치도,제주특별자치도,49.8,52.5,23.8,25.3,6.1,5.8,,,,,,,,,,,,,,False
2022,0,전국,전국,전국,45.8,50.6,22.6,24.5,7.4,7.1,,,,,0.946,0.958,,,,,25.2,26.9,,True
2022,11000,서울특별시,서울특별시,서울특별시,50.7,54.5,24.0,25.7,7.3,7.1,,,,,0.948,0.958,,,,,30.6,31.1,,False
2022,21000,부산광역시,부산광역시,부산광역시,42.8,49.5,20.8,22.8,8.3,7.5,,,,,0.943,0.959,,,,,27.0,28.6,,False
2022,22000,대구광역시,대구광역시,대구광역시,44.6,50.0,20.3,22.6,6.2,6.1,,,,,0.957,0.967,,,,,26.2,28.0,,False
2022,23000,인천광역시,인천광역시,인천광역시,43.4,46.8,24.2,26.3,8.3,8.0,,,,,0.945,0.955,,,,,19.6,20.4,,False
