outcome,predictor,n,rank,df_resid,clusters,coef,se_hc1,p_hc1_norm,se_cluster_region,p_cluster_norm,r2,model,controls
depression_std,smartphone_use_rate,51,20,31,17,0.0749367458017062,0.047384225689542335,0.11377054368969576,0.053804583077696304,0.16369308260004983,0.6884986383020485,M3_region_year_FE,
depression_std,smartphone_use_rate,51,24,27,17,0.08016507577797488,0.060149800987415084,0.18261152031072023,0.07111161044987332,0.2596099725583779,0.6929684710426538,M4_region_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
depression_counseling_std,digital_index_within_year_z,34,3,31,17,-0.37052005879255345,0.8013807143510241,0.643828841019117,0.8679595617882022,0.6694621337315214,0.12214519139324265,M1_year_FE,
depression_counseling_std,digital_index_within_year_z,34,7,27,17,0.3553373771595987,0.6913746014120999,0.607281487002329,0.8419052622800589,0.6729787593553773,0.4567037696876559,M2_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
depression_counseling_std,digital_index_within_year_z,34,19,15,17,-1.0615218164020201,1.351553545662919,0.4322140234898061,1.9410210033028097,0.5844554248670797,0.6470589604147376,M3_region_year_FE,
depression_counseling_std,digital_index_within_year_z,34,23,11,17,-0.7748341270162129,0.696003418977775,0.26559594090467487,0.9995588106306226,0.43823559306966575,0.8105948318654608,M4_region_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
depression_counseling_std,digital_raw_mean,34,3,31,17,-0.0762426080263591,0.2587300661373533,0.7682382478998744,0.2820636009355165,0.786927238016674,0.11711489304329847,M1_year_FE,
depression_counseling_std,digital_raw_mean,34,7,27,17,0.1481688665708309,0.22233859242602313,0.5051484827059323,0.2696609627753795,0.5826873807848552,0.4601368677557741,M2_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
depression_counseling_std,digital_raw_mean,34,19,15,17,-0.28650666110307593,0.4782624097404184,0.5491345726798231,0.6868520935594403,0.6765832723041272,0.6383674757089255,M3_region_year_FE,
depression_counseling_std,digital_raw_mean,34,23,11,17,-0.2197585438263514,0.2613460827246982,0.4004197734371253,0.3753297361599279,0.5582062236283201,0.8071186654445783,M4_region_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
depression_counseling_std,internet_use_rate,34,3,31,17,-0.031043804985333937,0.19552595395584113,0.8738494839684283,0.20217596953410366,0.8779657925789649,0.11483544579140448,M1_year_FE,
depression_counseling_std,internet_use_rate,34,7,27,17,0.11544781701940574,0.19249423477925443,0.5486749389186794,0.2121758038767214,0.5863630540548546,0.4565758111225888,M2_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
depression_counseling_std,internet_use_rate,34,19,15,17,-0.26875233237964874,0.5042390347867322,0.5940432905403061,0.7241581810409726,0.7105453287048654,0.6342703389403215,M3_region_year_FE,
depression_counseling_std,internet_use_rate,34,23,11,17,-0.009331249843606448,0.30444780755307677,0.9755488642909215,0.43722987577378364,0.9829730412948681,0.7989873557644255,M4_region_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
depression_counseling_std,mobile_internet_use_rate,34,3,31,17,-0.06554492794679662,0.2368367228652824,0.781970893142315,0.26275732720943445,0.8030123811202434,0.11666222575639718,M1_year_FE,
depression_counseling_std,mobile_internet_use_rate,34,7,27,17,0.1416859315008126,0.21160613076041648,0.5031294891016328,0.2583219702546524,0.5833583796253824,0.46084753416734203,M2_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
depression_counseling_std,mobile_internet_use_rate,34,19,15,17,-0.18990217961921774,0.40705089312164405,0.6408349019271415,0.584582338966783,0.7452938147599396,0.6333645731310951,M3_region_year_FE,
depression_counseling_std,mobile_internet_use_rate,34,23,11,17,-0.20919023880342036,0.23195850592172232,0.3671400817089706,0.33312504216648614,0.5300281039530317,0.8099892837341146,M4_region_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
depression_counseling_std,smartphone_use_rate,34,3,31,17,-0.09146163199404299,0.23778411350584694,0.7005030617363948,0.26135815878384017,0.7263781047855062,0.11949955445435656,M1_year_FE,
depression_counseling_std,smartphone_use_rate,34,7,27,17,0.1221767344999159,0.20254465893072857,0.5463697487896797,0.24725717508094683,0.6212156670937798,0.458945007615458,M2_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
depression_counseling_std,smartphone_use_rate,34,19,15,17,-0.23432147129070768,0.3919154959352877,0.5499148388996095,0.5628457796372537,0.6771790880872588,0.6387516520639087,M3_region_year_FE,
depression_counseling_std,smartphone_use_rate,34,23,11,17,-0.22059830166250136,0.20677641340246825,0.28604201143581837,0.29696001515430365,0.45756933062856736,0.8116351669209542,M4_region_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
subjective_health_std,digital_index_within_year_z,51,4,47,17,-0.35949302605890554,0.46490673376738256,0.4393694841560388,0.5412382367981704,0.5065592521048348,0.07593801445703507,M1_year_FE,
subjective_health_std,digital_index_within_year_z,51,8,43,17,-0.3384882199145358,0.5005108317297317,0.4988593947622925,0.5264812848564191,0.5202724710284523,0.3393939770413126,M2_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
subjective_health_std,digital_index_within_year_z,51,20,31,17,-0.4826938707694155,0.620482870776305,0.436608731470401,0.8099454032100171,0.5512029318117055,0.7855185445633103,M3_region_year_FE,
subjective_health_std,digital_index_within_year_z,51,24,27,17,-0.5502773277133759,0.7424952326360397,0.45862128752272,1.017639905065092,0.5886876671816041,0.7982112977006209,M4_region_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
subjective_health_std,digital_raw_mean,51,4,47,17,-0.13348322441577748,0.14282107718707124,0.3499849289412345,0.1670430790618394,0.4242355537460959,0.07983278914522574,M1_year_FE,
subjective_health_std,digital_raw_mean,51,8,43,17,-0.1333445531779578,0.14853926588352154,0.36934244282777334,0.15379749434501275,0.3859344372064201,0.3434809734470313,M2_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
subjective_health_std,digital_raw_mean,51,20,31,17,-0.17589607775691277,0.18508980796049587,0.341945476598668,0.24445028436141694,0.47179738082667705,0.7879342163237446,M3_region_year_FE,
subjective_health_std,digital_raw_mean,51,24,27,17,-0.19349835753096228,0.23263714425223678,0.405544216306094,0.3179025776180293,0.5427419537301628,0.8000960124309113,M4_region_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
subjective_health_std,internet_use_rate,51,4,47,17,-0.13464596991035224,0.13124156340702559,0.3049198653914997,0.16565855873765958,0.41633725851828446,0.08156690737841532,M1_year_FE,
subjective_health_std,internet_use_rate,51,8,43,17,-0.26120767907350406,0.15995558341922086,0.10246871877530275,0.1835093963699788,0.15461959421601704,0.3733172811887401,M2_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
subjective_health_std,internet_use_rate,51,20,31,17,-0.34932576815962807,0.2008360809737106,0.08197187758809966,0.24718925263821734,0.1575994043680995,0.8023179870861522,M3_region_year_FE,
subjective_health_std,internet_use_rate,51,24,27,17,-0.40985098684924537,0.2610882523399153,0.11646641782564152,0.33611327426087323,0.22269866263808527,0.8173810238012182,M4_region_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
subjective_health_std,mobile_internet_use_rate,51,4,47,17,-0.10340933184149279,0.13859517840941946,0.4555918896509578,0.1526090744607988,0.49801943242901553,0.07506505609480707,M1_year_FE,
subjective_health_std,mobile_internet_use_rate,51,8,43,17,-0.06290509018221652,0.1522408045942038,0.6794639872630921,0.14426803341032218,0.6628154685643659,0.3354040352347183,M2_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
subjective_health_std,mobile_internet_use_rate,51,20,31,17,-0.09551334703756625,0.16221938634046093,0.5560013502499339,0.21877101330800253,0.6624083503356525,0.7830463744426188,M3_region_year_FE,
subjective_health_std,mobile_internet_use_rate,51,24,27,17,-0.1002014796318584,0.19209713447850402,0.60193576059862,0.26672985376569175,0.7071648206409713,0.794728481357122,M4_region_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
subjective_health_std,smartphone_use_rate,51,4,47,17,-0.12207066238313817,0.1375999591202901,0.37500261284992464,0.15357850048034827,0.4267053408093471,0.07924510083209324,M1_year_FE,
subjective_health_std,smartphone_use_rate,51,8,43,17,-0.059710163174620086,0.1489051714795418,0.6884241317814241,0.1435609389153458,0.6774670277692348,0.3352768503535888,M2_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
subjective_health_std,smartphone_use_rate,51,20,31,17,-0.10275867637933864,0.16154612987973313,0.524714540992824,0.2203802864921926,0.6410158837358313,0.7837336714547083,M3_region_year_FE,
subjective_health_std,smartphone_use_rate,51,24,27,17,-0.10785172080964106,0.19617075413817997,0.5824669084869335,0.2734390501042556,0.6932658762096753,0.7953536839223984,M4_region_year_FE_controls,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
