n,k,coef,robust_se,t,p_norm,r2,df_resid,model,outcome,digital_indicator,controls
51,4,0.02287407450946643,0.049123682716925514,0.4656425016275335,0.641471415394312,0.1258600623034546,47,year_FE_no_controls,depression_std,mobile_internet_use_rate,
51,8,0.02378256196747417,0.04727045509817295,0.5031168394313468,0.6148821280298931,0.20164163882581276,43,year_FE_controls,depression_std,mobile_internet_use_rate,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
51,20,0.07002653796942959,0.048564230751202364,1.4419365217206876,0.14932028201778078,0.684288180725857,31,region_year_FE_no_controls,depression_std,mobile_internet_use_rate,
51,4,0.024445209831528987,0.049740839024640326,0.49145149761988255,0.6231071487410389,0.1269632226312679,47,year_FE_no_controls,depression_std,smartphone_use_rate,
51,8,0.025331887353932676,0.04754689039506959,0.5327769522559458,0.5941879900023407,0.2026142732916426,43,year_FE_controls,depression_std,smartphone_use_rate,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
51,20,0.0749367458017062,0.047384225689542335,1.581470303908431,0.11377054368969576,0.6884986383020485,31,region_year_FE_no_controls,depression_std,smartphone_use_rate,
34,3,-0.031043804985333937,0.19552595395584113,-0.1587707634575463,0.8738494839684283,0.11483544579140448,31,year_FE_no_controls,depression_counseling_std,internet_use_rate,
34,7,0.11544781701940582,0.19249423477929967,0.5997468815196993,0.5486749389187731,0.45657581112258894,27,year_FE_controls,depression_counseling_std,internet_use_rate,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
34,19,-0.26875233237964874,0.5042390347867322,-0.5329859726018981,0.5940432905403061,0.6342703389403215,15,region_year_FE_no_controls,depression_counseling_std,internet_use_rate,
34,3,-0.06554492794679662,0.2368367228652824,-0.27675154069784996,0.781970893142315,0.11666222575639718,31,year_FE_no_controls,depression_counseling_std,mobile_internet_use_rate,
34,7,0.14168593150081255,0.21160613076033852,0.669573849262825,0.5031294891014757,0.46084753416734225,27,year_FE_controls,depression_counseling_std,mobile_internet_use_rate,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
34,19,-0.18990217961921774,0.40705089312164405,-0.466531784669164,0.6408349019271415,0.6333645731310951,15,region_year_FE_no_controls,depression_counseling_std,mobile_internet_use_rate,
34,3,-0.09146163199404299,0.23778411350584694,-0.3846414743422042,0.7005030617363948,0.11949955445435656,31,year_FE_no_controls,depression_counseling_std,smartphone_use_rate,
34,7,0.12217673449991567,0.20254465893067547,0.6032088683302819,0.5463697487895751,0.458945007615458,27,year_FE_controls,depression_counseling_std,smartphone_use_rate,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
34,19,-0.23432147129070768,0.3919154959352877,-0.5978877429470112,0.5499148388996095,0.6387516520639087,15,region_year_FE_no_controls,depression_counseling_std,smartphone_use_rate,
51,4,-0.13464596991035224,0.13124156340702559,-1.0259400026557777,0.3049198653914997,0.08156690737841532,47,year_FE_no_controls,subjective_health_std,internet_use_rate,
51,8,-0.26120767907350384,0.15995558341914498,-1.6330013213045496,0.10246871877514008,0.37331728118873964,43,year_FE_controls,subjective_health_std,internet_use_rate,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
51,20,-0.34932576815962807,0.2008360809737106,-1.7393576217281133,0.08197187758809966,0.8023179870861522,31,region_year_FE_no_controls,subjective_health_std,internet_use_rate,
51,4,-0.10340933184149279,0.13859517840941946,-0.7461250313918907,0.4555918896509578,0.07506505609480707,47,year_FE_no_controls,subjective_health_std,mobile_internet_use_rate,
51,8,-0.06290509018221652,0.15224080459418052,-0.4131946776680468,0.6794639872630458,0.33540403523471796,43,year_FE_controls,subjective_health_std,mobile_internet_use_rate,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
51,20,-0.09551334703756625,0.16221938634046093,-0.5887911993274704,0.5560013502499339,0.7830463744426188,31,region_year_FE_no_controls,subjective_health_std,mobile_internet_use_rate,
51,4,-0.12207066238313817,0.1375999591202901,-0.8871417052996636,0.37500261284992464,0.07924510083209324,47,year_FE_no_controls,subjective_health_std,smartphone_use_rate,
51,8,-0.0597101631746199,0.14890517147954546,-0.40099455634300823,0.6884241317814324,0.3352768503535891,43,year_FE_controls,subjective_health_std,smartphone_use_rate,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
51,20,-0.10275867637933864,0.16154612987973313,-0.6360949436290414,0.524714540992824,0.7837336714547083,31,region_year_FE_no_controls,subjective_health_std,smartphone_use_rate,
