year,region_code,sido_nia,internet_use_rate,mobile_internet_use_rate,smartphone_use_rate,source_family,sido_chs,subjective_health_std,stress_std,depression_std,depression_counseling_std,stress_counseling_std,suicide_ideation_std,happiness_std,eq5d_std,aged_pop_rate,elderly_living_alone_household_rate,unemployment_rate,psychiatry_specialists_count,psychiatry_clinic_count,log1p_psychiatry_specialists_count,log1p_psychiatry_clinic_count,digital_raw_mean,internet_use_rate_pooled_z,internet_use_rate_within_year_z,mobile_internet_use_rate_pooled_z,mobile_internet_use_rate_within_year_z,smartphone_use_rate_pooled_z,smartphone_use_rate_within_year_z,digital_index_pooled_z,digital_index_within_year_z_raw,digital_index_within_year_z
2021,chungbuk,충청북도,91.5,91.2,90.7,NIA Internet Usage Survey,충청북도,47.8,27.2,7.3,,,,,,18.9,9.80088,2.5,110,30,4.709530201312334,3.4339872044851463,91.13333333333333,-0.44338360186842635,-0.07943751776027722,-0.4979121689005731,-0.10230529571493323,-0.4834078121007207,-0.12988266087286507,-0.4749011942899067,-0.10387515811602517,-0.10843757681653605
2021,chungnam,충청남도,91.1,90.8,90.3,NIA Internet Usage Survey,충청남도,48.4,27.0,8.1,,,,,,19.8,10.09202,2.3,125,30,4.836281906951478,3.4339872044851463,90.73333333333333,-0.556872001844788,-0.18535420810731099,-0.6133372626002526,-0.20771075190607746,-0.5968890476226416,-0.23629255170846764,-0.5890327706892274,-0.2097858372406187,-0.2190000790698339
2021,jeonbuk,전북특별자치도,89.7,89.6,89.2,NIA Internet Usage Survey,전라북도,43.9,26.2,7.6,,,,,,22.3,12.20952,2.2,136,49,4.919980925828125,3.912023005428146,89.5,-0.9540814017620459,-0.5560626243219217,-0.9596125436992866,-0.5239271204795064,-0.9089624453079181,-0.528919751506369,-0.9408854635897503,-0.5363031654359324,-0.559858745379266
2021,jeonnam,전라남도,86.6,86.6,86.1,NIA Internet Usage Survey,전라남도,48.7,23.7,5.1,,,,,,24.3,14.39298,2.3,126,22,4.844187086458591,3.1354942159291497,86.43333333333332,-1.833616501578839,-1.376916974511424,-1.82530074644687,-1.314468041913077,-1.7884420206027953,-1.3535964054822796,-1.8157864228761682,-1.3483271406355934,-1.40754854710481
2021,gyeongbuk,경상북도,91.4,91.3,90.7,NIA Internet Usage Survey,경상북도,47.4,24.7,6.0,,,,,,22.7,12.43917,3.2,176,29,5.176149732573829,3.4011973816621555,91.13333333333333,-0.47175570186251475,-0.10591669034703378,-0.4690558954756553,-0.07595393166714905,-0.4834078121007207,-0.12988266087286507,-0.4747398031462969,-0.1039177609623493,-0.10848205087082068
2021,gyeongnam,경상남도,94.9,94.8,94.2,NIA Internet Usage Survey,경상남도,45.6,24.9,7.1,,,,,,18.4,10.56366,4.1,238,54,5.476463551931511,4.007333185232471,94.63333333333333,0.5212677979306359,0.8208543501894986,0.5409136743965252,0.84634381000535,0.5095529987160734,0.8012038839386442,0.5239114903477449,0.8228006813778309,0.8589398438455217
2021,jeju,제주특별자치도,87.8,87.5,87.3,NIA Internet Usage Survey,제주특별자치도,52.5,25.3,5.8,,,,,,16.3,7.58108,3.1,36,17,3.610917912644224,2.8903717578961645,87.53333333333335,-1.493151301649758,-1.0591669034703266,-1.5655942856225933,-1.0773057654830043,-1.4479983140370365,-1.0343667329754755,-1.5022479671031295,-1.0569464673096023,-1.1033698125574312
2022,seoul,서울특별시,92.0,91.2,91.1,NIA Internet Usage Survey,서울특별시,54.5,25.7,7.1,31.1,,,,0.958,17.6,7.540515338812311,3.4,1106,534,7.009408932708637,6.282266746896006,91.43333333333332,-0.30152310189797626,-0.2622895845192491,-0.4979121689005731,-0.5404733286924007,-0.3699265765788038,-0.5779739611139174,-0.3897872824591177,-0.4602456247751891,-0.48046059516259876
2022,busan,부산광역시,95.5,94.8,95.1,NIA Internet Usage Survey,부산광역시,49.5,22.8,7.5,28.6,,,,0.959,21.5,11.093122442284116,3.0,308,137,5.733341276897746,4.927253685157205,95.13333333333333,0.6915003978951745,0.6611559941136051,0.5409136743965252,0.4528290051206683,0.7648857786403894,0.507722982414983,0.6657666169773631,0.5405693272164188,0.5643122860926936
2022,daegu,대구광역시,95.6,95.2,95.4,NIA Internet Usage Survey,대구광역시,50.0,22.6,6.1,28.0,,,,0.967,18.4,9.803489000172137,2.9,197,74,5.288267030694535,4.31748811353631,95.40000000000002,0.7198724978892629,0.6875401535031138,0.6563387680962046,0.5631959310999,0.8499967052818321,0.5891502531796536,0.7420693237557665,0.6132954459275558,0.6402326911957003
