year,sido,internet_use_rate,mobile_internet_use_rate,smartphone_use_rate,source_file,internet_pages,mobile_pages,smartphone_pages
2022,경기도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(영문).pdf",,,
2022,강원도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(영문).pdf",,,
2022,충청북도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(영문).pdf",,,
2022,충청남도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(영문).pdf",,,
2022,세종특별자치시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(영문).pdf",,,
2022,전라북도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(영문).pdf",,,
2022,전라남도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(영문).pdf",,,
2022,경상북도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(영문).pdf",,,
2022,경상남도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(영문).pdf",,,
2022,제주특별자치도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(영문).pdf",,,
2023,서울특별시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(영문).pdf",,,
2023,부산광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(영문).pdf",,,
2023,대구광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(영문).pdf",,,
2023,인천광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(영문).pdf",,,
2023,광주광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(영문).pdf",,,
2023,대전광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(영문).pdf",,,
2023,울산광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(영문).pdf",,,
2023,경기도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(영문).pdf",,,
2023,강원도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(영문).pdf",,,
2023,충청북도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(영문).pdf",,,
2023,충청남도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(영문).pdf",,,
2023,세종특별자치시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(영문).pdf",,,
2023,전라북도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(영문).pdf",,,
2023,전라남도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(영문).pdf",,,
2023,경상북도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(영문).pdf",,,
2023,경상남도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(영문).pdf",,,
2023,제주특별자치도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(영문).pdf",,,
