year,sido,internet_use_rate,mobile_internet_use_rate,smartphone_use_rate,source_file,internet_pages,mobile_pages,smartphone_pages,code,sigungu,region,subjective_health_crude,subjective_health_std,stress_crude,stress_std,depression_crude,depression_std,suicide_ideation_crude,suicide_ideation_std,suicide_attempt_crude,suicide_attempt_std,eq5d_crude,eq5d_std,happiness_crude,happiness_std,stress_counseling_crude,stress_counseling_std,depression_counseling_crude,depression_counseling_std,suicide_mortality_std_total,is_national
2023,울산광역시,97.2,96.5,96.2,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(국문).pdf",35,47,51,26000,울산광역시,울산광역시,41.0,45.1,23.7,25.8,8.6,8.6,,,,,,,,,,,21.2,20.8,,False
2023,경기도,93.2,92.5,91.0,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(국문).pdf",35,47,51,31000,경기도,경기도,44.0,47.4,26.3,27.7,7.8,7.7,,,,,,,,,,,27.8,28.7,,False
2023,강원도,90.9,90.4,88.3,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(국문).pdf",35,47,51,32000,강원도,강원도,40.2,46.9,24.3,27.2,9.0,8.6,,,,,,,,,,,25.7,28.1,,False
2023,충청북도,95.4,94.9,92.9,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(국문).pdf",35,47,51,33000,충청북도,충청북도,42.8,48.6,24.5,26.3,7.7,7.5,,,,,,,,,,,27.4,29.7,,False
2023,충청남도,95.2,94.7,93.3,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(국문).pdf",35,47,51,34000,충청남도,충청남도,40.7,46.2,25.0,27.7,8.6,8.3,,,,,,,,,,,23.1,25.0,,False
2023,세종특별자치시,95.6,95.4,93.7,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(국문).pdf",35,47,51,29000,세종특별자치시,세종특별자치시,47.0,49.8,25.5,25.8,9.2,8.8,,,,,,,,,,,28.4,28.4,,False
2023,전라북도,93.6,93.5,93.0,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(국문).pdf",35,47,51,35000,전라북도,전라북도,39.0,45.6,23.9,26.5,9.8,9.4,,,,,,,,,,,26.6,29.3,,False
2023,전라남도,90.6,90.4,89.5,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(국문).pdf",35,47,51,36000,전라남도,전라남도,39.2,47.2,22.9,25.6,5.8,5.8,,,,,,,,,,,22.3,23.0,,False
2023,경상북도,94.9,94.7,94.0,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(국문).pdf",35,47,51,37000,경상북도,경상북도,38.4,45.9,21.0,23.9,7.5,7.5,,,,,,,,,,,26.1,28.2,,False
2023,경상남도,94.7,94.6,93.5,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(국문).pdf",35,47,51,38000,경상남도,경상남도,39.7,45.4,22.5,24.5,7.4,7.6,,,,,,,,,,,24.0,24.6,,False
2023,제주특별자치도,89.9,89.6,87.3,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(국문).pdf",35,47,51,39000,제주특별자치도,제주특별자치도,46.5,51.9,22.5,23.5,5.0,5.1,,,,,,,,,,,37.3,35.9,,False
