dataset,variable,label,value,raw_n,raw_pct
HINTS6_2022,TestSource_HCPCounselor,G2. From which of the following sources did you read or hear anything about gene,-7.0,155,0.024792066538707615
HINTS6_2022,TestSource_HCPCounselor,G2. From which of the following sources did you read or hear anything about gene,-6.0,99,0.01583493282149712
HINTS6_2022,TestSource_HCPCounselor,G2. From which of the following sources did you read or hear anything about gene,-9.0,47,0.007517594369801663
HINTS6_2022,TestSource_HCPCounselor,G2. From which of the following sources did you read or hear anything about gene,-2.0,9,0.0014395393474088292
HINTS6_2022,RiskTest_Counselor,G4. If you had a genetic test for disease risk (including prenatal carrier testi,-1.0,4171,0.667146513115803
HINTS6_2022,RiskTest_Counselor,G4. If you had a genetic test for disease risk (including prenatal carrier testi,2.0,1545,0.24712092130518235
HINTS6_2022,RiskTest_Counselor,G4. If you had a genetic test for disease risk (including prenatal carrier testi,-7.0,158,0.02527191298784389
HINTS6_2022,RiskTest_Counselor,G4. If you had a genetic test for disease risk (including prenatal carrier testi,1.0,152,0.02431222008957134
HINTS6_2022,RiskTest_Counselor,G4. If you had a genetic test for disease risk (including prenatal carrier testi,-6.0,133,0.02127319257837492
HINTS6_2022,RiskTest_Counselor,G4. If you had a genetic test for disease risk (including prenatal carrier testi,-9.0,89,0.014235444657709533
HINTS6_2022,RiskTest_Counselor,G4. If you had a genetic test for disease risk (including prenatal carrier testi,-2.0,4,0.0006397952655150352
HINTS6_2022,SharedRes4_Counselor,"G7. If you had any genetic test, who did you share the results with? Genetic cou",-1.0,4169,0.6668266154830454
HINTS6_2022,SharedRes4_Counselor,"G7. If you had any genetic test, who did you share the results with? Genetic cou",2.0,1456,0.2328854766474728
HINTS6_2022,SharedRes4_Counselor,"G7. If you had any genetic test, who did you share the results with? Genetic cou",-9.0,175,0.02799104286628279
HINTS6_2022,SharedRes4_Counselor,"G7. If you had any genetic test, who did you share the results with? Genetic cou",-7.0,160,0.025591810620601407
HINTS6_2022,SharedRes4_Counselor,"G7. If you had any genetic test, who did you share the results with? Genetic cou",1.0,147,0.023512476007677544
HINTS6_2022,SharedRes4_Counselor,"G7. If you had any genetic test, who did you share the results with? Genetic cou",-6.0,139,0.022232885476647472
HINTS6_2022,SharedRes4_Counselor,"G7. If you had any genetic test, who did you share the results with? Genetic cou",-2.0,6,0.0009596928982725527
HINTS6_2022,UndGenTest3_Counselor,"G10. If you had any genetic test, who helped you understand the results? Genetic",-1.0,4161,0.6655470249520153
